0.000_1L:þ
Offsets:257,262,259,-43,-14,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
9.355_1L:-47.73,-51.55,52.72_38,56,-41_514,-51,-35_573,-539,-164
9.374_1L:-46.03,-52.02,51.30_29,49,-16_554,-22,-96_573,-539,-164
9.390_1L:-44.80,-52.73,50.00_17,60,2_554,1,-131_573,-539,-164
9.418_1L:-44.26,-53.26,49.04_15,48,26_554,60,-160_573,-539,-164
9.435_1L:-44.27,-53.15,48.70_26,9,29_554,90,-154_573,-539,-164
9.452_1L:-43.36,-52.50,49.40_23,-34,-62_554,113,-133_573,-539,-164
9.482_1L:-42.52,-51.21,51.57_15,-97,-124_510,217,-119_685,-433,-109
9.498_1L:-43.82,-47.58,55.49_47,-208,-75_-94,49,195_685,-433,-109
9.514_1L:-38.63,-41.69,56.86_26,-260,-214_-423,-100,494_685,-433,-109
9.544_1L:-36.43,-38.22,61.29_41,-260,-257_-469,-79,570_685,-433,-109
9.562_1L:-34.07,-33.74,64.24_128,-260,-220_-469,115,312_685,-433,-109
9.580_1L:-38.06,-30.10,68.15_50,-258,96_-469,-498,234_685,-433,-109
9.612_1L:-40.59,-31.63,67.77_-53,54,141_-56,-498,13_386,-642,200
9.626_1L:-34.56,-35.87,63.94_-49,230,-164_-287,-498,274_386,-642,200
9.655_1L:-30.50,-36.80,62.74_1,80,-174_152,525,147_386,-642,200
9.669_1L:-31.11,-36.19,63.55_23,-35,16_13,171,186_386,-642,200
9.686_1L:-26.42,-34.87,60.57_18,-36,82_-87,-104,188_386,-642,200
9.703_1L:-27.66,-31.12,60.77_-3,16,60_-189,-205,189_386,-642,200
9.732_1L:-29.17,-29.66,60.43_7,54,72_-216,-155,213_264,-665,257
9.751_1L:-31.51,-27.94,59.35_31,76,142_-289,-165,216_264,-665,257
9.768_1L:-33.81,-28.66,58.07_25,98,175_-340,-233,231_264,-665,257
9.796_1L:-35.48,-30.24,56.35_2,135,149_-395,-272,184_264,-665,257
9.813_1L:-36.19,-31.84,54.01_19,164,125_-258,-254,180_264,-665,257
9.831_1L:-36.51,-32.68,51.36_60,145,111_-199,-214,161_264,-665,257
9.860_1L:-38.04,-30.96,50.58_39,82,102_-112,-128,99_437,-689,32
9.875_1L:-40.33,-29.37,50.46_-11,63,97_260,-104,-19_437,-689,32
9.892_1L:-43.51,-33.69,51.66_-25,43,78_504,-85,-63_437,-689,32
9.908_1L:-44.65,-34.31,51.62_-2,36,73_554,-67,-71_437,-689,32
9.939_1L:-45.23,-34.33,51.80_13,7,38_554,-163,-31_437,-689,32
9.957_1L:-44.80,-33.98,52.54_10,-24,-32_554,-87,22_437,-689,32
9.974_1L:-43.53,-33.75,53.33_4,-23,-81_554,-76,30_558,-612,-110
10.003_1L:-43.28,-32.74,54.68_8,-69,-43_474,-62,-23_558,-612,-110
10.021_1L:-45.31,-31.21,56.57_8,-118,59_447,-78,-76_558,-612,-110
10.038_1L:-47.53,-29.67,57.52_33,-86,91_538,-201,16_558,-612,-110
10.066_1L:-47.43,-29.16,56.81_52,3,14_478,-301,77_558,-612,-110
10.084_1L:-45.69,-29.32,55.93_32,34,-67_200,-285,78_558,-612,-110
10.102_1L:-44.97,-29.71,56.28_-4,7,-66_206,-204,44_445,-673,-106
10.130_1L:-47.74,-31.46,58.73_-32,-21,-1_227,-186,18_445,-673,-106
10.146_1L:-50.91,-33.36,60.90_-35,-17,39_227,-242,4_445,-673,-106
10.163_1L:-53.01,-34.47,62.31_-24,5,21_224,-275,3_445,-673,-106
10.179_1L:-53.53,-35.08,62.63_-1,21,-2_233,-241,1_445,-673,-106
10.210_1L:-54.56,-35.83,62.95_19,19,3_220,-213,-1_445,-673,-106
10.227_1L:-56.52,-36.71,63.62_28,10,21_220,-207,7_453,-667,-103
10.243_1L:-58.47,-37.71,64.42_31,11,16_233,-262,33_453,-667,-103
10.274_1L:-58.40,-37.99,64.17_32,23,-6_265,-287,50_453,-667,-103
10.290_1L:-57.98,-38.33,63.49_30,33,7_362,-226,58_453,-667,-103
10.307_1L:-57.98,-38.71,62.61_37,41,38_469,-242,96_453,-667,-103
10.323_1L:-57.23,-39.31,61.01_56,68,22_491,-294,139_453,-667,-103
10.354_1L:-54.62,-40.32,59.00_54,93,-59_466,-271,136_504,-631,-96
10.371_1L:-51.01,-42.03,57.44_13,107,-119_455,-107,55_504,-631,-96
10.390_1L:-48.77,-44.28,56.55_-32,117,-74_536,56,-23_504,-631,-96
