0.000_1L:5.36,5.29,50.ñ
Offsets:257,263,259,0,-2,-60
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
10.658_1L:25.65,-80.24,-36.40_14,-20,12_222,166,12_604,428,-220
10.689_1L:38.22,-79.45,-49.04_-1,-29,19_241,86,-3_604,428,-220
10.706_1L:45.38,-79.50,-56.01_0,-25,4_246,65,-30_612,427,-214
10.736_1L:54.48,-79.86,-65.00_8,-11,-6_232,69,-40_612,427,-214
10.754_1L:63.24,-79.93,-73.70_10,-12,-1_229,81,-39_612,427,-214
10.772_1L:71.82,-79.47,-82.24_11,-11,2_241,68,-31_612,427,-214
10.786_1L:77.13,-79.12,-87.36_14,-7,-6_258,75,-19_612,427,-214
10.817_1L:80.24,-78.66,-90.28_12,-7,-7_257,121,-8_612,427,-214
10.833_1L:82.58,-77.67,-92.62_2,-13,2_244,122,-5_630,402,-212
10.850_1L:85.27,-76.41,-95.57_-6,-14,3_253,66,-21_630,402,-212
10.880_1L:88.37,-76.45,-98.75_-5,-15,-4_257,62,-29_630,402,-212
10.897_1L:91.46,-76.62,-101.86_2,-18,-5_252,60,-34_630,402,-212
10.914_1L:94.50,-76.60,-104.84_5,-10,-8_248,59,-36_630,402,-212
10.931_1L:97.71,-76.40,-107.86_5,-3,-14_253,73,-30_630,402,-212
10.961_1L:99.47,-75.99,-109.54_5,-3,-9_256,97,-26_634,381,-224
10.978_1L:100.55,-75.23,-110.79_2,-8,-3_256,103,-22_634,381,-224
10.994_1L:101.39,-74.65,-111.67_-1,-14,-10_256,111,-18_634,381,-224
11.025_1L:102.03,-74.07,-112.04_1,-18,-27_259,130,-14_634,381,-224
11.041_1L:102.25,-73.52,-111.66_7,-24,-46_265,161,-7_634,381,-224
11.058_1L:102.14,-73.22,-110.76_13,-41,-56_241,215,9_634,381,-224
11.088_1L:102.00,-72.95,-109.63_12,-58,-71_214,211,25_646,356,-243
11.106_1L:101.96,-72.34,-107.55_6,-74,-118_206,208,25_646,356,-243
11.122_1L:102.87,-72.01,-105.69_7,-92,-174_206,212,1_646,356,-243
11.153_1L:105.07,-72.03,-104.33_19,-111,-206_194,200,-10_646,356,-243
11.169_1L:106.72,-72.05,-101.97_42,-122,-238_184,157,-9_646,356,-243
11.186_1L:107.10,-72.57,-97.30_71,-126,-257_166,90,-4_646,356,-243
11.202_1L:106.71,-74.57,-92.38_103,-117,-257_144,47,-3_715,46,-308
11.236_1L:103.15,-77.31,-83.06_133,-116,-257_140,71,-21_715,46,-308
11.253_1L:94.58,-79.62,-69.50_169,-129,-257_115,118,4_715,46,-308
11.281_1L:76.45,-80.86,-46.16_197,-136,-257_41,126,56_715,46,-308
11.297_1L:52.21,-80.79,-17.46_215,-144,-231_-28,108,117_715,46,-308
11.316_1L:31.95,-78.35,6.07_200,-138,-162_-64,8,194_715,46,-308
11.333_1L:17.73,-73.52,22.92_173,-125,-146_-47,-56,230_701,-396,178
11.361_1L:5.17,-64.65,38.32_186,-135,-114_-10,-84,325_701,-396,178
11.380_1L:0.83,-59.47,44.67_187,-129,-72_-88,-200,408_701,-396,178
11.397_1L:0.07,-57.20,47.50_129,-85,-78_-138,-324,465_701,-396,178
11.425_1L:0.81,-56.32,48.77_51,-40,-84_-67,-293,435_701,-396,178
11.442_1L:1.78,-56.31,49.15_6,-15,-61_63,-194,393_701,-396,178
11.460_1L:2.43,-56.26,49.55_8,-15,-42_129,-146,340_406,-478,591
11.488_1L:3.05,-55.86,50.42_25,-12,-35_118,-100,266_406,-478,591
11.505_1L:1.27,-53.27,53.41_41,-19,-44_101,-68,250_406,-478,591
11.521_1L:-0.67,-49.90,56.48_55,-38,-34_84,-22,254_406,-478,591
11.538_1L:-1.77,-45.92,58.63_63,-47,-6_46,-58,279_406,-478,591
11.568_1L:-3.14,-42.36,60.76_54,-38,-3_35,-96,289_406,-478,591
11.585_1L:-4.39,-39.38,62.77_43,-24,-11_38,-113,289_337,-403,688
11.602_1L:-5.45,-36.71,64.72_40,-18,-17_48,-96,283_337,-403,688
11.632_1L:-6.37,-34.19,66.52_38,-22,-15_43,-73,276_337,-403,688
11.649_1L:-7.00,-31.79,68.03_30,-21,-11_32,-58,260_337,-403,688
11.666_1L:-7.35,-29.17,69.30_22,-12,-11_36,-62,254_337,-403,688
11.682_1L:-7.72,-26.94,70.41_22,-5,-11_39,-46,252_337,-403,688
11.713_1L:-7.88,-24.76,71.40_25,-7,-3_31,-45,253_243,-377,726
11.730_1L:-8.13,-22.70,72.36_25,-13,2_23,-47,252_243,-377,726
11.749_1L:-8.41,-20.69,73.32_18,-10,2_6,-54,256_243,-377,726
11.765_1L:-8.60,-18.93,74.12_4,-1,-5_14,-59,272_243,-377,726
11.794_1L:-8.73,-17.67,74.93_-2,1,-8_50,-41,283_243,-377,726
11.812_1L:-8.66,-17.17,75.68_-1,-4,-1_62,-40,292_243,-377,726
11.829_1L:-8.80,-16.82,76.49_2,-7,10_55,-37,277_220,-352,725
11.859_1L:-8.96,-16.33,76.79_6,-6,14_49,-47,252_220,-352,725
11.876_1L:-9.21,-15.67,77.13_10,-5,5_36,-58,240_220,-352,725
11.890_1L:-9.70,-14.82,77.54_11,-6,3_23,-52,233_220,-352,725
11.906_1L:-10.14,-13.86,77.94_8,-7,8_16,-47,233_220,-352,725
11.937_1L:-10.38,-12.98,78.24_4,-5,7_25,-65,244_220,-352,725
11.953_1L:-10.83,-12.30,78.53_2,1,0_29,-66,256_215,-370,713
11.970_1L:-11.21,-11.85,78.47_0,1,3_31,-62,273_215,-370,713
12.001_1L:-11.83,-11.60,78.42_-7,0,25_15,-71,285_215,-370,713
12.017_1L:-12.77,-11.51,78.26_-23,10,44_24,-120,308_215,-370,713
12.034_1L:-13.93,-12.11,78.03_-41,21,45_43,-151,333_215,-370,713
12.050_1L:-14.97,-13.36,77.76_-56,24,54_51,-145,337_215,-370,713
12.081_1L:-16.85,-14.78,77.72_-70,18,102_61,-124,330_280,-429,680
12.098_1L:-20.79,-16.65,77.61_-85,14,181_82,-126,318_280,-429,680
12.114_1L:-23.37,-19.00,76.98_-109,59,147_67,-351,348_280,-429,680
12.146_1L:-25.32,-21.86,75.96_-115,86,116_67,-363,349_280,-429,680
12.163_1L:-28.32,-24.46,75.03_-104,86,181_69,-290,298_280,-429,680
12.181_1L:-32.63,-27.27,74.15_-102,90,242_28,-330,259_280,-429,680
12.209_1L:-36.83,-30.64,73.54_-132,110,244_56,-312,223_535,-640,301
12.228_1L:-41.70,-34.91,73.02_-145,120,241_111,-230,186_535,-640,301
12.261_1L:-47.13,-37.28,72.91_-111,111,272_131,-163,143_535,-640,301
12.272_1L:-53.11,-40.01,71.92_-74,125,303_98,-141,129_535,-640,301
12.288_1L:-57.20,-42.52,70.53_-68,152,282_56,-184,108_535,-640,301
12.304_1L:-60.88,-43.95,69.62_-59,151,211_62,-198,119_535,-640,301
12.335_1L:-62.92,-44.51,68.10_-34,155,169_82,-86,99_680,-328,-303
12.352_1L:-63.82,-47.80,65.03_-5,169,147_66,-18,79_680,-328,-303
12.368_1L:-64.04,-50.90,62.48_-2,176,107_56,66,45_680,-328,-303
12.398_1L:-63.60,-54.46,60.18_-23,184,63_68,137,12_680,-328,-303
