0.000_1L:12.50,18.15,µ
Offsets:257,263,259,-31,0,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
10.208_1L:115.68,-76.28,-156.36_-16,9,20_258,75,-43_661,249,-312
10.226_1L:117.17,-75.70,-158.88_-18,-9,37_272,43,-57_628,319,-323
10.254_1L:120.21,-75.61,-162.39_-9,-6,26_298,32,-47_628,319,-323
10.272_1L:121.06,-75.49,-162.88_3,19,-14_298,44,-37_628,319,-323
10.289_1L:120.95,-75.23,-162.06_7,26,-32_271,121,-53_628,319,-323
10.307_1L:120.15,-74.24,-160.76_7,6,-24_283,126,-48_628,319,-323
10.335_1L:119.59,-73.86,-160.02_10,-15,-9_285,107,-45_628,319,-323
10.352_1L:119.24,-73.76,-159.60_12,-21,-3_279,72,-41_622,322,-330
10.371_1L:119.71,-74.00,-159.88_10,-19,-9_285,63,-50_622,322,-330
10.399_1L:120.82,-74.25,-160.72_10,-18,-11_286,58,-60_622,322,-330
10.416_1L:122.30,-74.46,-162.07_9,-18,-4_284,62,-60_622,322,-330
10.434_1L:123.46,-74.51,-163.11_9,-13,-3_285,46,-54_622,322,-330
10.451_1L:124.68,-74.60,-164.04_6,-3,-11_285,44,-51_622,322,-330
10.479_1L:125.75,-74.64,-164.79_4,2,-12_288,64,-57_634,300,-334
10.498_1L:126.25,-74.37,-165.01_4,3,-11_286,70,-54_634,300,-334
10.515_1L:126.45,-74.13,-164.86_6,1,-16_285,72,-51_634,300,-334
10.543_1L:126.38,-73.98,-164.35_10,0,-22_279,70,-51_634,300,-334
10.561_1L:126.34,-73.87,-163.76_13,-1,-26_272,63,-49_634,300,-334
10.578_1L:126.46,-73.82,-163.13_15,2,-38_264,46,-43_634,300,-334
10.595_1L:126.86,-74.10,-162.34_22,4,-57_249,32,-38_634,275,-344
10.625_1L:127.43,-74.77,-161.12_34,5,-81_228,38,-45_634,275,-344
10.643_1L:127.86,-75.27,-159.43_48,-1,-102_221,61,-57_634,275,-344
10.659_1L:127.47,-75.72,-157.00_71,-22,-104_234,97,-69_634,275,-344
10.688_1L:126.31,-76.40,-153.69_96,-63,-108_272,89,-55_634,275,-344
10.705_1L:124.91,-78.42,-150.42_114,-102,-100_271,121,-51_634,275,-344
10.736_1L:119.41,-80.40,-143.58_130,-112,-70_400,159,-11_743,64,-229
10.751_1L:107.69,-82.91,-129.42_135,-76,-97_503,131,17_743,64,-229
10.768_1L:90.52,-84.11,-109.48_130,-51,-134_523,243,-22_743,64,-229
10.796_1L:67.13,-84.58,-84.71_131,-57,-69_538,363,-64_743,64,-229
10.813_1L:41.25,-84.11,-59.25_126,-62,25_542,317,-105_743,64,-229
10.831_1L:26.89,-82.83,-45.86_112,-35,51_542,212,-120_743,64,-229
